handle,total_posts,school_count,flags,schools
"@altruhealthshare",1,1,"","Penn State University"
"@alumnihallmsu",1,1,"","Michigan State"
"@aly'scloset",1,1,"","Louisiana State University"
"@alzassociation",1,1,"","Penn State University"
"@amazon",1,1,"","Texas A&M"
"@americanheartwa",1,1,"","University of Central Florida"
"@americasnavy",1,1,"","Auburn University"
"@amigos",1,1,"","University of Nebraska"
"@amphivaco",1,1,"","University of Texas at San Antonio (UTSA)"
"@anchorimpact",1,1,"","Penn State University"
"@anew_chiro_tx",1,1,"","Baylor"
"@annapolisdesigncompany",1,1,"","University of Virginia"
"@aof_football",1,1,"","Penn State University"
"@apexgymnasticsok",1,1,"","Baylor"
"@archer_foundation",1,1,"likely_agency_or_collective","Texas A&M"
"@areacodebaseball",1,1,"","University of Nebraska"
"@arenagraffiti",1,1,"","Louisiana State University"
"@arenausa",1,1,"","University of Virginia"
"@arenawaterinstinct",1,1,"","University of Virginia"
"@ariatequestrian",1,1,"","Auburn University"
"@artizanjoyeria",1,1,"","Penn State University"
"@ashandash.co",1,1,"","University of Nebraska"
